Identifikasjonsnr,Objekttype,Beskrivende datering,Ervervelse
NG.K&H.B.09888,Billedkunst,Mellom 1837 og 1848,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09888VERSO,Billedkunst,Mellom 1837 og 1848,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09889,Billedkunst,-1846,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09889VERSO,Billedkunst,Antagelig november 1847,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09890,Billedkunst,Antagelig 1840-tallet,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09891,Billedkunst,Mellom 1837 og 1848,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09892,Billedkunst,Antagelig 1873,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09893,Billedkunst,Antagelig 1873,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09894,Billedkunst,Antagelig 1873,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09895,Billedkunst,Antagelig 1873,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09896,Billedkunst,Antagelig 1873,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09897,Billedkunst,26. juli 1873,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09898,Billedkunst,Antagelig mellom 1855 og 1857,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.11081,Billedkunst,,
NG.K&H.B.11537,Billedkunst,Utgitt (1511) Ant.,
NG.K&H.B.15000,Billedkunst,Siste halvdel av 1500-tallet,Ervervelsesopplysninger under arbeid
NG.K&H.B.15001,Billedkunst,Ca. 1600,Ervervelsesopplysninger under arbeid
NG.K&H.B.15002,Billedkunst,Siste halvdel av 1500-tallet,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15003,Billedkunst,Midten av 1600-tallet,Ervervelsesopplysninger under arbeid
NG.K&H.B.15004,Billedkunst,Ca. 1600,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15005,Billedkunst,Mellom 1585 og 1647,Ervervelsesopplysninger under arbeid
NG.K&H.B.15006,Billedkunst,Mellom 1585 og 1647,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15007,Billedkunst,Første halvdel av 1600-tallet,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15008,Billedkunst,Første halvdel av 1600-tallet,Ervervelsesopplysninger under arbeid
NG.K&H.B.15009,Billedkunst,Første halvdel av 1600-tallet,Ervervelsesopplysninger under arbeid
NG.K&H.B.15009VERSO,Billedkunst,,Ervervelsesopplysninger under arbeid
NG.K&H.B.15010,Billedkunst,Før 1624,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15011,Billedkunst,Første del av 1600-tallet,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.15012,Billedkunst,Første halvdel av 1500-tallet,Ervervelsesopplysninger under arbeid
NG.K&H.B.15012VERSO,Billedkunst,Første halvdel av 1500-tallet,Ervervelsesopplysninger under arbeid
NG.K&H.B.15013,Billedkunst,Slutten av 1500-tallet,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.15014,Billedkunst,,
NG.K&H.B.15015,Billedkunst,,
NG.K&H.B.15016,Billedkunst,Slutten av 1400-tallet,Ervervelsesopplysninger under arbeid
NG.K&H.B.15017,Billedkunst,Ca. 1620,Ervervelsesopplysninger under arbeid
NG.K&H.B.15018,Billedkunst,,
NG.K&H.B.15019,Billedkunst,1600-tallet,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15020,Billedkunst,Antagelig ca. 1720,Ervervelsesopplysninger under arbeid
NG.K&H.B.15021,Billedkunst,Mellom 1650 og 1750,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15022,Billedkunst,Ca. 1600,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15023,Billedkunst,Siste del av 1600-tallet,Antagelig kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15024,Billedkunst,Siste halvdel av 1600-tallet,Ervervelsesopplysninger under arbeid
NG.K&H.B.15025,Billedkunst,Siste halvdel av 1600-tallet,Ervervelsesopplysninger under arbeid
NG.K&H.B.15026,Billedkunst,Første halvdel av 1500-tallet,Ervervelsesopplysninger under arbeid
NG.K&H.B.15026VERSO,Billedkunst,Første halvdel av 1500-tallet,Ervervelsesopplysninger under arbeid
NG.K&H.B.15027,Billedkunst,Ca. 1600,Ervervelsesopplysninger under arbeid
NG.K&H.B.15028,Billedkunst,Antagelig ca. 1620,Ervervelsesopplysninger under arbeid
NG.K&H.B.15029,Billedkunst,Antagelig siste del av 1500-tallet,Antagelig kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15030,Billedkunst,Antagelig ca. 1600,Ervervelsesopplysninger under arbeid
NG.K&H.B.15031,Billedkunst,Antagelig midten av 1700-tallet,Ervervelsesopplysninger under arbeid
NG.K&H.B.15032,Billedkunst,Antagelig første halvdel av 1600-tallet,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15033,Billedkunst,Siste halvdel av 1500-tallet,Ervervelsesopplysninger under arbeid
