INTVENTARNUMMER,Fornavn kunstner,Etternavn kunstner,FØDT,DØD,FØDESTED,DØDSSTED,Koordinat fødested,Koordinat dødssted,Nasjonalitet kunstner,Kjønn kunstner,Yrke kunstner,Navn produsent,Nasjonalitet produsent,Produsent etablert,Bransje produsent,BETEGNELSE,Presisert betegnelse,EMNEORD,FARGE,Produksjonssted,Koordinat produksjonssted,Produsert fra dato,Produsert til dato,Aksesjon fra dato,Aksesjon til dato
NG.K&H.A.03584,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1824,1877,1877
NG.K&H.A.03585,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1824,1877,1877
NG.K&H.A.03586,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1824,1877,1877
NG.K&H.A.03587,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1821,1823,1877,1877
NG.K&H.A.03588,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1834,1834,1877,1877
NG.K&H.A.03589,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1830,1830,1877,1877
NG.K&H.A.03590,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1830,1830,1877,1877
NG.K&H.A.03591,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1821,1840,1877,1877
NG.K&H.A.03592,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03593,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1837,1837,1877,1877
NG.K&H.A.03594,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1821,1840,1877,1877
NG.K&H.A.03595,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1830,1830,1877,1877
NG.K&H.A.03596,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1835,1835,1877,1877
NG.K&H.A.03597,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1825,1825,1877,1877
NG.K&H.A.03597VERSO,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1825,1825,1877,1877
NG.K&H.A.03598,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1828,1840,1877,1877
NG.K&H.A.03599,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1832,1832,1877,1877
NG.K&H.A.03600,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03601,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1821,1823,1877,1877
NG.K&H.A.03601VERSO,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1821,1823,1877,1877
NG.K&H.A.03602,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03602VERSO,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03603,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1828,1828,1877,1877
NG.K&H.A.03603VERSO,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1828,1828,1877,1877
NG.K&H.A.03604,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03604VERSO,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03605,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1828,1828,1877,1877
NG.K&H.A.03606,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1821,1840,1877,1877
NG.K&H.A.03606VERSO,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1821,1842,1877,1877
NG.K&H.A.03607,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1821,1842,1877,1877
NG.K&H.A.03608,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1832,1835,1877,1877
NG.K&H.A.03609,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1821,1840,1877,1877
NG.K&H.A.03610,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1814,1840,1877,1877
NG.K&H.A.03610VERSO,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1814,1840,1877,1877
NG.K&H.A.03611,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1827,1827,1877,1877
NG.K&H.A.03612,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1823,1823,1877,1877
NG.K&H.A.03612VERSO,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1823,1823,1877,1877
NG.K&H.A.03613,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1823,1823,1877,1877
NG.K&H.A.03613VERSO,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1823,1823,1877,1877
NG.K&H.A.03614,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1828,1830,1877,1877
NG.K&H.A.03614VERSO,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03615,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1827,1827,1877,1877
NG.K&H.A.03616,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03617,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03618,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1824,1877,1877
NG.K&H.A.03619,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1823,1840,1877,1877
NG.K&H.A.03620,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1832,1835,1877,1877
NG.K&H.A.03621,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1830,1830,1877,1877
NG.K&H.A.03622,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1830,1830,1877,1877
NG.K&H.A.03623,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1837,1837,1877,1877
NG.K&H.A.03624,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1824,1877,1877
NG.K&H.A.03625,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1840,1840,1877,1877
NG.K&H.A.03626,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03627,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1830,1830,1877,1877
NG.K&H.A.03628,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1824,1877,1877
NG.K&H.A.03629,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1828,1828,1877,1877
NG.K&H.A.03630,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1824,1877,1877
NG.K&H.A.03631,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1825,1825,1877,1877
NG.K&H.A.03632,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1831,1831,1877,1877
NG.K&H.A.03632VERSO,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1831,1831,1877,1877
NG.K&H.A.03633,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1826,1826,1877,1877
NG.K&H.A.03634,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1825,1825,1877,1877
NG.K&H.A.03635,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1834,1834,1877,1877
NG.K&H.A.03635VERSO,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1834,1834,1877,1877
NG.K&H.A.03636,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1824,1877,1877
NG.K&H.A.03637,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1824,1877,1877
NG.K&H.A.03638,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1821,1840,1877,1877
NG.K&H.A.03638VERSO,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1821,1840,1877,1877
NG.K&H.A.03639,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03640,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1821,1840,1877,1877
NG.K&H.A.03641,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03642,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03642VERSO,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03643,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1833,1834,1877,1877
NG.K&H.A.03644,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1830,1830,1877,1877
NG.K&H.A.03645,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1823,1823,1877,1877
NG.K&H.A.03645VERSO,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1823,1823,1877,1877
NG.K&H.A.03646,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1824,1877,1877
NG.K&H.A.03647,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1824,1877,1877
NG.K&H.A.03648,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1823,1823,1877,1877
NG.K&H.A.03648VERSO,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1823,1823,1877,1877
NG.K&H.A.03649,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1825,1825,1877,1877
NG.K&H.A.03650,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03651,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1836,1836,1877,1877
NG.K&H.A.03652,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1832,1832,1877,1877
NG.K&H.A.03653,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03654,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03655,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03656,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1821,1840,1877,1877
NG.K&H.A.03657,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1831,1835,1877,1877
NG.K&H.A.03658,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03658VERSO,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1824,1840,1877,1877
NG.K&H.A.03659,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1821,1840,1877,1877
NG.K&H.A.03659VERSO,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1821,1840,1877,1877
NG.K&H.A.03660,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1830,1830,1877,1877
NG.K&H.A.03661,Thomas,Fearnley,1802,1842,Halden (Norge),München (Tyskland),"59.13299639999999, 11.387456899999961","48.1366069, 11.577085099999976",Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1830,1830,1877,1877
NG.K&H.A.03662,Hans,Michelsen,1789,1859,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,,,,
NG.K&H.A.03663,Hans,Michelsen,1789,1859,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,Kartong,Bildende kunst,,,,,,,
NG.K&H.A.03664,Hans,Michelsen,1789,1859,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,Kartong,Bildende kunst,,,,,,,
NG.K&H.A.03665,Hans,Michelsen,1789,1859,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,Kartong,Bildende kunst,,,,,,,
NG.K&H.A.03666,Hans,Michelsen,1789,1859,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,Kartong,Bildende kunst,,,,,,,
NG.K&H.A.03667,Hans,Michelsen,1789,1859,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,Kartong,Bildende kunst,,,,,,,
NG.K&H.A.03668,Hans,Michelsen,1789,1859,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,Kartong,Bildende kunst,,,,,,,
NG.K&H.A.03669,Hans,Michelsen,1789,1859,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,Kartong,Bildende kunst,,,,,,,
NG.K&H.A.03670,Hans,Michelsen,1789,1859,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,,,,
NG.K&H.A.03671,Hans,Michelsen,1789,1859,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,Kartong,Bildende kunst,,,,,,,
NG.K&H.A.03672,Hans,Michelsen,1789,1859,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,Kartong,Bildende kunst,,,,,,,
NG.K&H.A.03673,Hans,Michelsen,1789,1859,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,Kartong,Bildende kunst,,,,,,,
NG.K&H.A.03674,Hans,Michelsen,1789,1859,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,Kartong,Bildende kunst,,,,,,,
NG.K&H.A.03675,Hans,Michelsen,1789,1859,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,Kartong,Bildende kunst,,,,,,,
NG.K&H.A.03676,Hans,Michelsen,1789,1859,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,Kartong,Bildende kunst,,,,,,,
NG.K&H.A.03677,Hans,Michelsen,1789,1859,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,Kartong,Bildende kunst,,,,,,,
NG.K&H.A.03678,Hans,Michelsen,1789,1859,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,Kartong,Bildende kunst,,,,,,,
NG.K&H.A.03679,Hans,Michelsen,1789,1859,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,Kartong,Bildende kunst,,,,,,,
NG.K&H.A.03680,Hans,Michelsen,1789,1859,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,Kartong,Bildende kunst,,,,,,,
