INTVENTARNUMMER,Fornavn kunstner,Etternavn kunstner,FØDT,DØD,FØDESTED,DØDSSTED,Koordinat fødested,Koordinat dødssted,Nasjonalitet kunstner,Kjønn kunstner,Yrke kunstner,Navn produsent,Nasjonalitet produsent,Produsent etablert,Bransje produsent,BETEGNELSE,Presisert betegnelse,EMNEORD,FARGE,Produksjonssted,Koordinat produksjonssted,Produsert fra dato,Produsert til dato,Aksesjon fra dato,Aksesjon til dato
NG.K&H.A.09474,,,,,,,,,,,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09478,Ukjent kunstner,,,,,,,,,,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09500,Philipp Herrmann,Eichens,1812,1872,,,,,Tyskland,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09501,Johann Baptiste,Homann,1664,1724,,,,,Tyskland,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09503,Karl August,Lebschée,1800,1877,,,,,Polen,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09504,Georg von,Rosen,1843,1923,,,,,Sverige,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09505,Joachim,Wichmann,,,,,,,Tyskland,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09506,Peter van der,Berge,,,,,,,Nederland,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09507,Romein de,Hooghe,1645,1708,,,,,Nederland,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09508,tysk,Ukjent kunstner,,,,,,,,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09512,Gottfried,Pfauntz,1800,1900,,,,,Tyskland,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09513,tysk,Ukjent kunstner,,,,,,,,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09519,Kaspar,Auer,1795,,,,,,Tyskland,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09521,Lorentz,Ekeman-Allesson,1791,1828,,,,,Sverige,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09522,Carl Fr.,Heinzmann,1795,1846,,,,,Tyskland,Mann,,,,,,Grafikk,,Bildende kunst,,,,1838,1838,,
NG.K&H.A.09524,Lorentz,Ekeman-Allesson,1791,1828,,,,,Sverige,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09526,Lorentz,Ekeman-Allesson,1791,1828,,,,,Sverige,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09527,Carl,Wahlbom,1810,1858,,,,,Sverige,Mann,,,,,,Grafikk,,Bildende kunst,,,,1833,1833,,
