KunstnerNøkkel,Fornavn kunstner,Etternavn kunstner,FØDT,DØD,Antall verk
Wynand Otto JanNieuwenkamp1874,Wynand Otto Jan,Nieuwenkamp,1874,1950,1
WaltherGeorgi1871,Walther,Georgi,1871,1924,1
HugoBurkner1818,Hugo,Burkner,1818,1897,1
Isak WilhelmTegner1815,Isak Wilhelm,Tegner,1815,1893,1
Charles JosephTravies1804,Charles Joseph,Travies,1804,1859,1
FerdinandPiloty1786,Ferdinand,Piloty,1786,1844,2
EllingBjørset1878,Elling,Bjørset,1878,1938,1
MonsBreidvik1881,Mons,Breidvik,1881,1950,4
PerDeberitz1880,Per,Deberitz,1880,1945,14
OleEngh1877,Ole,Engh,1877,1947,1
Rolf JuellGleditsch1892,Rolf Juell,Gleditsch,1892,1984,24
KarlHaldorsen1878,Karl,Haldorsen,1878,1911,4
NilsHansteen1855,Nils,Hansteen,1855,1912,9
HansHolm1878,Hans,Holm,1878,1946,9
MoritzKaland1869,Moritz,Kaland,1869,1947,3
SolveigKaurin1896,Solveig,Kaurin,1896,1977,6
MannaKielland1882,Manna,Kielland,1882,1979,5
Nana KrohgSchweigaard1885,Nana Krohg,Schweigaard,1885,1974,11
JohannesKølbel1883,Johannes,Kølbel,1883,1983,12
TheodorLaureng1879,Theodor,Laureng,1879,1929,19
IvarLund1871,Ivar,Lund,1871,1904,9
ErlingMerton1898,Erling,Merton,1898,1967,10
SørenOnsager1878,Søren,Onsager,1878,1946,18
EinarSandberg1876,Einar,Sandberg,1876,1947,12
SeverinSegelcke1867,Severin,Segelcke,1867,1940,11
KristoferSinding-Larsen1873,Kristofer,Sinding-Larsen,1873,1948,11
Harald KrohgStabell1874,Harald Krohg,Stabell,1874,1963,7
Anders CastusSvarstad1869,Anders Castus,Svarstad,1869,1943,30
HenrikSørensen1882,Henrik,Sørensen,1882,1962,312
HenryThue1890,Henry,Thue,1890,1921,13
HansØdegaard1876,Hans,Ødegaard,1876,1943,28
EinarØfsti1862,Einar,Øfsti,1862,1906,10
AstriAasen1875,Astri,Aasen,1875,1935,3
Roar MathesonBye1895,Roar Matheson,Bye,1895,1987,178
EivindEngebretsen1890,Eivind,Engebretsen,1890,1960,2
OlaGeelmuyden1858,Ola,Geelmuyden,1858,1944,10
OttoHennig1871,Otto,Hennig,1871,1920,7
OlafHolwech1896,Olaf,Holwech,1896,1973,6
HjalmarJohnsen1852,Hjalmar,Johnsen,1852,1901,2
LouisLacomblé1862,Louis,Lacomblé,1862,1928,15
BrynjulfLarsson1881,Brynjulf,Larsson,1881,1920,8
ReidarPetersen1892,Reidar,Petersen,1892,1914,5
Ørnulf av FjordeneSalicath1888,Ørnulf av Fjordene,Salicath,1888,1962,4
GudmundStenersen1863,Gudmund,Stenersen,1863,1934,40
EinarStensby1888,Einar,Stensby,1888,1983,6
GustavWentzel1859,Gustav,Wentzel,1859,1927,141
MichaloffWigdehl1857,Michaloff,Wigdehl,1857,1921,4
OlafWillums1886,Olaf,Willums,1886,1967,50
GertJynge1904,Gert,Jynge,1904,1994,303
JohanLie-Gjemre1900,Johan,Lie-Gjemre,1900,1991,8
PerRom1903,Per,Rom,1903,1985,14
Per PalleStorm1910,Per Palle,Storm,1910,1994,101
Ralph AulieStyker1906,Ralph Aulie,Styker,1906,1979,2
ChrixDahl1906,Chrix,Dahl,1906,1994,238
NikolaiAstrup1880,Nikolai,Astrup,1880,1928,78
Jean RenéGauguin1881,Jean René,Gauguin,1881,1961,5
Paul RenéGauguin1911,Paul René,Gauguin,1911,1976,778
PolaGauguin1883,Pola,Gauguin,1883,1961,19
ArneKavli1878,Arne,Kavli,1878,1970,72
HaraldKihle1905,Harald,Kihle,1905,1997,186
HenrikLund1879,Henrik,Lund,1879,1935,121
BjarneNess1902,Bjarne,Ness,1902,1927,105
OlafNordhagen1883,Olaf,Nordhagen,1883,1925,7
RolfRude1899,Rolf,Rude,1899,1971,58
AlfhildRude1903,Alfhild,Rude,1903,1994,2
ErikWerenskiold1855,Erik,Werenskiold,1855,1938,904
JohnSavio1902,John,Savio,1902,1938,62
FritsThaulow1847,Frits,Thaulow,1847,1906,54
AlbertNæss1873,Albert,Næss,1873,1947,11
LasseSegelcke1898,Lasse,Segelcke,1898,1942,1
Johan Friedrich LeonhardDreier1775,Johan Friedrich Leonhard,Dreier,1775,1833,16
Johan LudvigLosting1810,Johan Ludvig,Losting,1810,1876,4
Georg Carl Christian WedelPrahl1798,Georg Carl Christian Wedel,Prahl,1798,1883,27
Hans ThøgerWinther1786,Hans Thøger,Winther,1786,1851,5
BjarneEngebret1905,Bjarne,Engebret,1905,1985,12
ErlingEnger1899,Erling,Enger,1899,1990,210
Else ChristieKielland1903,Else Christie,Kielland,1903,1993,18
FinnNielssen1908,Finn,Nielssen,1908,1962,10
HaraldDal1902,Harald,Dal,1902,1972,25
SigurdWinge1909,Sigurd,Winge,1909,1970,88
BernhardFolkestad1879,Bernhard,Folkestad,1879,1933,9
TheodorKittelsen1857,Theodor,Kittelsen,1857,1914,295
ThoralvSundt-Ohlsen1884,Thoralv,Sundt-Ohlsen,1884,1948,3
Alfhild BørsumJohnsen1882,Alfhild Børsum,Johnsen,1882,1981,3
DagfinWerenskiold1892,Dagfin,Werenskiold,1892,1977,77
Kristofer EriksenGaner1889,Kristofer Eriksen,Ganer,1889,1962,13
HaraldSohlberg1869,Harald,Sohlberg,1869,1935,29
OlavRusti1850,Olav,Rusti,1850,1920,33
IngerSverdrup1876,Inger,Sverdrup,1876,1956,4
LorentzRee1888,Lorentz,Ree,1888,1962,1
ArentChristensen1893,Arent,Christensen,1893,1982,58
RagnhildEnder1886,Ragnhild,Ender,1886,1973,6
LeifGrung1894,Leif,Grung,1894,1945,1
KristianOppegaard1887,Kristian,Oppegaard,1887,1955,1
AlfredOster1893,Alfred,Oster,1893,1967,2
JohanOppegård1889,Johan,Oppegård,1889,1962,1
SigneWalle1890,Signe,Walle,1890,1972,2
ChristianChristensen1898,Christian,Christensen,1898,1977,25
SverreJohnsen1884,Sverre,Johnsen,1884,1939,11
AugustEiebakke1867,August,Eiebakke,1867,1938,30
GuidoSchjølberg1886,Guido,Schjølberg,1886,1976,6
NilsBratager1894,Nils,Bratager,1894,1966,1
PaulAnsteinsson1885,Paul,Ansteinsson,1885,1939,1
LillaHellesen1902,Lilla,Hellesen,1902,1963,2
JardarLunde1909,Jardar,Lunde,1909,1990,2
GunnarWareberg1888,Gunnar,Wareberg,1888,1977,2
TerjeStrand1896,Terje,Strand,1896,1966,2
ØyvindSørensen1887,Øyvind,Sørensen,1887,1962,13
JennyVard1891,Jenny,Vard,1891,1978,2
SørenBegby1907,Søren,Begby,1907,1986,17
OlavMosebekk1910,Olav,Mosebekk,1910,2001,75
ThorbjørnEgner1912,Thorbjørn,Egner,1912,1990,28
ØrnulfBast1907,Ørnulf,Bast,1907,1974,23
ElseHagen1914,Else,Hagen,1914,2010,39
Jacob MortenssønMaschius1630,Jacob Mortenssøn,Maschius,1630,1678,2
IvarThorkildsen1911,Ivar,Thorkildsen,1911,1970,4
OlufWold-Torne1867,Oluf,Wold-Torne,1867,1919,50
HenrikFinne1898,Henrik,Finne,1898,1992,54
RolfNesch1893,Rolf,Nesch,1893,1975,3187
WilliamHamilton1751,William,Hamilton,1751,1801,1
FinnFaaborg1902,Finn,Faaborg,1902,1995,103
KåreJonsborg1912,Kåre,Jonsborg,1912,1977,5
Carl AndreasDahlström1806,Carl Andreas,Dahlström,1806,1869,3
OtteSköld1894,Otte,Sköld,1894,1958,6
MaxBeckmann1884,Max,Beckmann,1884,1950,3
OlafLange1875,Olaf,Lange,1875,1965,5
EivindNielsen1864,Eivind,Nielsen,1864,1939,17
MinkaGrønvold1862,Minka,Grønvold,1862,1931,12
JacobGløersen1852,Jacob,Gløersen,1852,1912,29
KristenHolbø1869,Kristen,Holbø,1869,1953,155
EyolfSoot1858,Eyolf,Soot,1858,1928,7
Vincent vanGogh1853,Vincent van,Gogh,1853,1890,5
GerhardMunthe1849,Gerhard,Munthe,1849,1929,341
AdolphTidemand1814,Adolph,Tidemand,1814,1876,2557
FredrikKolstø1860,Fredrik,Kolstø,1860,1945,14
Vincent StoltenbergLerche1837,Vincent Stoltenberg,Lerche,1837,1892,51
WalterCrane1845,Walter,Crane,1845,1915,12
NilsKreuger1858,Nils,Kreuger,1858,1930,8
PaulDelaroche1797,Paul,Delaroche,1797,1856,1
OlafIsaachsen1835,Olaf,Isaachsen,1835,1893,74
ThorolfHolmboe1866,Thorolf,Holmboe,1866,1935,118
Torleiv JørgensenStadskleiv1865,Torleiv Jørgensen,Stadskleiv,1865,1946,6
HalfdanEgedius1877,Halfdan,Egedius,1877,1899,105
PerKrohg1889,Per,Krohg,1889,1965,159
ThorvaldErichsen1868,Thorvald,Erichsen,1868,1939,73
JoakimSkovgaard1856,Joakim,Skovgaard,1856,1933,29
IsaacGrünewald1889,Isaac,Grünewald,1889,1946,4
EdgarDegas1834,Edgar,Degas,1834,1917,19
Otto EmilJohansen1886,Otto Emil,Johansen,1886,1934,14
Dyre KristoferVaa1903,Dyre Kristofer,Vaa,1903,1980,9
StiniusFredriksen1902,Stinius,Fredriksen,1902,1977,38
RolfLunde1891,Rolf,Lunde,1891,1928,27
RidleyBorchgrevink1898,Ridley,Borchgrevink,1898,1981,90
SigurdDanifer1894,Sigurd,Danifer,1894,1958,8
PerLund1902,Per,Lund,1902,1972,2
Bernt Julius MuusClüver1897,Bernt Julius Muus,Clüver,1897,1941,7
TrygveTorkildsen1899,Trygve,Torkildsen,1899,1984,8
Carl vonHanno1901,Carl von,Hanno,1901,1953,16
AlfRolfsen1895,Alf,Rolfsen,1895,1979,76
Hugo LousMohr1889,Hugo Lous,Mohr,1889,1970,36
Jean FranciosMillet1814,Jean Francios,Millet,1814,1874,7
MogensLorentzen1892,Mogens,Lorentzen,1892,1953,2
CharlesDespiau1874,Charles,Despiau,1874,1946,6
GeorgJacobsen1887,Georg,Jacobsen,1887,1976,12
ReidarAulie1904,Reidar,Aulie,1904,1977,155
JacobCalmeyer1802,Jacob,Calmeyer,1802,1883,15
RagnvaldBlix1882,Ragnvald,Blix,1882,1958,26
OlavEngebrigtsen1878,Olav,Engebrigtsen,1878,1962,24
JohannesLarsen1867,Johannes,Larsen,1867,1961,1
MikkoOinomen1883,Mikko,Oinomen,1883,1956,1
Reinhold v.Rosen1894,Reinhold v.,Rosen,1894,1961,1
ReidarMagnus1896,Reidar,Magnus,1896,1968,1
ArneJohnson1907,Arne,Johnson,1907,1994,7
EdvardaLie1910,Edvarda,Lie,1910,1983,1
WilliMidelfart1904,Willi,Midelfart,1904,1975,426
SørenSteen-Johnsen1903,Søren,Steen-Johnsen,1903,1979,17
AlexanderSchultz1901,Alexander,Schultz,1901,1981,91
KaiFjell1907,Kai,Fjell,1907,1989,49
JeanHeiberg1884,Jean,Heiberg,1884,1976,201
AageStorstein1900,Aage,Storstein,1900,1983,188
ArneVigeland1900,Arne,Vigeland,1900,1983,7
AlvRingereide1907,Alv,Ringereide,1907,1968,2
HaraldBrun1873,Harald,Brun,1873,1927,6
RandiHolwech1890,Randi,Holwech,1890,1967,1
Thorvald HagbartTorgersen1862,Thorvald Hagbart,Torgersen,1862,1943,5
AndersAskevold1834,Anders,Askevold,1834,1900,33
SvenJørgensen1861,Sven,Jørgensen,1861,1940,23
ErikWengelin1907,Erik,Wengelin,1907,1965,1
Erik HarryJohannessen1902,Erik Harry,Johannessen,1902,1980,29
ErkkiTanttu1907,Erkki,Tanttu,1907,1985,7
Frederik HansenSødring1809,Frederik Hansen,Sødring,1809,1862,2
John MacodyLund1877,John Macody,Lund,1877,1927,50
SigneScheel1860,Signe,Scheel,1860,1942,172
PerHurum1910,Per,Hurum,1910,1989,34
JosephGrimeland1916,Joseph,Grimeland,1916,2002,7
Ludwig vonHofmann1861,Ludwig von,Hofmann,1861,1945,1
HenrikStarcke1899,Henrik,Starcke,1899,1973,4
MogensBøggild1901,Mogens,Bøggild,1901,1987,8
EbbeSadolin1900,Ebbe,Sadolin,1900,1982,8
Carl AndreasJensen1844,Carl Andreas,Jensen,1844,1897,2
KaareWildhagen1906,Kaare,Wildhagen,1906,1984,5
LuigiRossini1790,Luigi,Rossini,1790,1857,1
HelmuthThomsen1908,Helmuth,Thomsen,1908,1974,2
HelgeThiis1897,Helge,Thiis,1897,1972,1
Nils ErikFlakstad1907,Nils Erik,Flakstad,1907,1979,7
AlfredSeland1903,Alfred,Seland,1903,1960,6
NicSchiøll1901,Nic,Schiøll,1901,1984,5
AxelRevold1887,Axel,Revold,1887,1962,46
MathildeDietrichson1837,Mathilde,Dietrichson,1837,1921,11
Hans LegangerReusch1800,Hans Leganger,Reusch,1800,1854,11
LarsJorde1865,Lars,Jorde,1865,1939,15
OscarLærum1868,Oscar,Lærum,1868,1923,2
SigmundSinding1875,Sigmund,Sinding,1875,1936,4
MathiasSkeibrok1851,Mathias,Skeibrok,1851,1896,10
JørgenSørensen1861,Jørgen,Sørensen,1861,1894,15
DoroOrding1901,Doro,Ording,1901,1993,18
OlafDahl1842,Olaf,Dahl,1842,1895,2
DavidArnesen1818,David,Arnesen,1818,1895,4
Gustav AdolphMordt1826,Gustav Adolph,Mordt,1826,1856,18
Johan SebastianWelhaven1807,Johan Sebastian,Welhaven,1807,1873,2
FrederikCollett1839,Frederik,Collett,1839,1914,131
Amalie vonBassewitz1794,Amalie von,Bassewitz,1794,1830,1
Johann Heinrich KarlSchulz1813,Johann Heinrich Karl,Schulz,1813,1836,3
LarsHertervig1830,Lars,Hertervig,1830,1902,78
NielsWiwel1855,Niels,Wiwel,1855,1914,5
HjalmarKjerulf1821,Hjalmar,Kjerulf,1821,1847,2
AugustHeinrich1794,August,Heinrich,1794,1822,56
FrøydisHaavardsholm1896,Frøydis,Haavardsholm,1896,1984,262
VilhelmBendz1804,Vilhelm,Bendz,1804,1832,1
AntonHansen1891,Anton,Hansen,1891,1960,12
Heinrich Gustav FerdinandHolm1803,Heinrich Gustav Ferdinand,Holm,1803,1861,4
CarstenHenrichsen1824,Carsten,Henrichsen,1824,1897,1
Daniel Herman AntonMelbye1818,Daniel Herman Anton,Melbye,1818,1875,1
VilhelmMelbye1824,Vilhelm,Melbye,1824,1882,2
Carl ChristianMüller1689,Carl Christian,Müller,1689,1712,1
FrederikKraft1823,Frederik,Kraft,1823,1854,2
Johan Ludwig (J. L.)Lund1777,Johan Ludwig (J. L.),Lund,1777,1867,5
Johan ThomasLundbye1818,Johan Thomas,Lundbye,1818,1848,8
ViggoPedersen1854,Viggo,Pedersen,1854,1926,2
Hugo VilfredPedersen1870,Hugo Vilfred,Pedersen,1870,1959,1
CarlSchmidt1858,Carl,Schmidt,1858,1923,1
JohannesWiedewelt1731,Johannes,Wiedewelt,1731,1802,2
Christian Olavius (C. O.)Zeuthen1812,Christian Olavius (C. O.),Zeuthen,1812,1890,6
VigiliusErichsen1722,Vigilius,Erichsen,1722,1782,1
Peter Frederik Nordahl FritsGrove1822,Peter Frederik Nordahl Frits,Grove,1822,1885,1
Andreas HermanHunæus1814,Andreas Herman,Hunæus,1814,1866,2
Ferdinand VilhelmJensen1837,Ferdinand Vilhelm,Jensen,1837,1890,2
Johan LaurentzJensen1800,Johan Laurentz,Jensen,1800,1856,1
Hans ChristianLey1828,Hans Christian,Ley,1828,1875,2
Karel vanMander (III)1609,Karel van,Mander (III),1609,1670,5
LudvigMessmann1826,Ludvig,Messmann,1826,1893,1
SamuelMygind1784,Samuel,Mygind,1784,1817,4
Carl Frederik (C.F.)Sørensen1818,Carl Frederik (C.F.),Sørensen,1818,1879,10
Christian RudolphVogelsang1824,Christian Rudolph,Vogelsang,1824,1911,1
ThorvaldBindesbøll1846,Thorvald,Bindesbøll,1846,1908,39
GerhardHenning1880,Gerhard,Henning,1880,1967,7
JohannMohr1808,Johann,Mohr,1808,1843,4
ErikPauelsen1749,Erik,Pauelsen,1749,1790,1
FritzPetzholdt1805,Fritz,Petzholdt,1805,1838,1
Lugvig AlbinSchou1838,Lugvig Albin,Schou,1838,1867,1
AxelAxelson1854,Axel,Axelson,1854,1892,1
Johan EdvardMandelberg1730,Johan Edvard,Mandelberg,1730,1786,1
Carl GustavPilo1711,Carl Gustav,Pilo,1711,1793,1
ErnstJosephson1851,Ernst,Josephson,1851,1906,23
Jacob AxelGillberg1769,Jacob Axel,Gillberg,1769,1845,1
BengtFogelberg1786,Bengt,Fogelberg,1786,1854,1
Nils vonDardel1888,Nils von,Dardel,1888,1943,4
Johan TobiasSergel1740,Johan Tobias,Sergel,1740,1814,2
Erik DornBodom1829,Erik Dorn,Bodom,1829,1879,11
Ulrik FrederikBøyesen1773,Ulrik Frederik,Bøyesen,1773,1841,1
ChristianHoltermann1843,Christian,Holtermann,1843,1927,4
HarrietBacker1845,Harriet,Backer,1845,1932,36
Erik Theodor Christian BernhardAnker1785,Erik Theodor Christian Bernhard,Anker,1785,1858,2
HansJahn1834,Hans,Jahn,1834,1902,12
MortenMüller1828,Morten,Müller,1828,1911,8
Knut RagnvaldSandvik1873,Knut Ragnvald,Sandvik,1873,1970,1
OttoSinding1842,Otto,Sinding,1842,1909,48
JacobBratland1859,Jacob,Bratland,1859,1906,6
EdvardDiriks1855,Edvard,Diriks,1855,1930,22
AxelEnder1853,Axel,Ender,1853,1920,5
JahnEkenæs1847,Jahn,Ekenæs,1847,1920,9
Albert vonHanno1862,Albert von,Hanno,1862,1938,1
Baltazar MathiasKeilhau1797,Baltazar Mathias,Keilhau,1797,1858,2
ThoralfKlouman1890,Thoralf,Klouman,1890,1940,25
OlafKrohn1863,Olaf,Krohn,1863,1933,3
Carl FredrikSundt-Hansen1841,Carl Fredrik,Sundt-Hansen,1841,1907,11
Oscar A.Wergeland1844,Oscar A.,Wergeland,1844,1910,12
Christian AugustGrosch1815,Christian August,Grosch,1815,1885,1
OlafGulbransson1873,Olaf,Gulbransson,1873,1958,47
Helga RingReusch1865,Helga Ring,Reusch,1865,1944,61
GustavVigeland1869,Gustav,Vigeland,1869,1943,153
Jonas NicolaiPrahm1816,Jonas Nicolai,Prahm,1816,1878,41
CarlSchøyen1848,Carl,Schøyen,1848,1875,4
ThorbjørnLie-Jørgensen1900,Thorbjørn,Lie-Jørgensen,1900,1961,17
RolfSyrdahl1912,Rolf,Syrdahl,1912,1970,7
HansRyggen1894,Hans,Ryggen,1894,1956,5
PaulLinaae1791,Paul,Linaae,1791,1866,2
TorRefsum1894,Tor,Refsum,1894,1981,20
RagnhildIversen1894,Ragnhild,Iversen,1894,1981,2
KarenHoltsmark1907,Karen,Holtsmark,1907,1998,14
Alf-JørgenAas1915,Alf-Jørgen,Aas,1915,1981,10
PelleThommessen1912,Pelle,Thommessen,1912,1979,9
SophusLarpent1838,Sophus,Larpent,1838,1911,13
Kaare EspolinJohnson1907,Kaare Espolin,Johnson,1907,1994,47
EinarStang1898,Einar,Stang,1898,1984,12
RagnarKraugerud1909,Ragnar,Kraugerud,1909,1987,27
BorghildRud1910,Borghild,Rud,1910,1999,24
AnitaGreve1905,Anita,Greve,1905,1972,2
VeslaNatvig1905,Vesla,Natvig,1905,1979,2
ArneEkeland1908,Arne,Ekeland,1908,1994,91
GladysRaknerud1912,Gladys,Raknerud,1912,1997,8
RandiMonsen1910,Randi,Monsen,1910,1997,55
InggardRosseland1914,Inggard,Rosseland,1914,1994,57
FerdinandFinne1910,Ferdinand,Finne,1910,1999,11
VilhelmTveteraas1898,Vilhelm,Tveteraas,1898,1972,20
FredrikMatheson1908,Fredrik,Matheson,1908,1999,92
GöstaHammarlund1903,Gösta,Hammarlund,1903,1987,221
MarianneHallbauer1903,Marianne,Hallbauer,1903,1991,1
TrygveMosebekk1909,Trygve,Mosebekk,1909,1981,3
Caspar DavidFriedrich1774,Caspar David,Friedrich,1774,1840,232
FedericoBarocci1528,Federico,Barocci,1528,1612,5
FrancescoBassano1549,Francesco,Bassano,1549,1592,3
OrazioGentileschi1565,Orazio,Gentileschi,1565,1647,3
BaldassarePeruzzi1481,Baldassare,Peruzzi,1481,1536,2
Antonio diPollaiuolo1433,Antonio di,Pollaiuolo,1433,1498,1
Giulio CesareProcaccini1570,Giulio Cesare,Procaccini,1570,1625,2
SebastianoRicci1662,Sebastiano,Ricci,1662,1734,4
CristoforoRoncalli1552,Cristoforo,Roncalli,1552,1626,3
DanieleCrespi1590,Daniele,Crespi,1590,1630,2
GiorgioVasari1511,Giorgio,Vasari,1511,1574,3
FrancescoAlbani1578,Francesco,Albani,1578,1660,2
JacopoAmigoni1682,Jacopo,Amigoni,1682,1752,3
SistoBadalocchio1585,Sisto,Badalocchio,1585,1647,3
AntonioBalestra1666,Antonio,Balestra,1666,1740,1
Jacopo da PonteBassano1510,Jacopo da Ponte,Bassano,1510,1592,4
Carlo da FerBononi1569,Carlo da Fer,Bononi,1569,1632,2
LucaCambiaso1527,Luca,Cambiaso,1527,1585,18
VincenzoCamuccini1773,Vincenzo,Camuccini,1773,1844,4
Michel (d.e)Corneille1602,Michel (d.e),Corneille,1602,1664,1
Giovanni BattistaCipriani1727,Giovanni Battista,Cipriani,1727,1785,6
FrancescoTrevisani1656,Francesco,Trevisani,1656,1746,6
DomenicoCresti1558,Domenico,Cresti,1558,1638,1
DomenicoCanuti1620,Domenico,Canuti,1620,1684,4
FrancescoFontebasso1709,Francesco,Fontebasso,1709,1769,3
GaspareDiziani1689,Gaspare,Diziani,1689,1767,4
PellegrinoTibaldi1527,Pellegrino,Tibaldi,1527,1596,1
Giovanni DomenicoFerretti1692,Giovanni Domenico,Ferretti,1692,1766,1
FrancescoFurini1604,Francesco,Furini,1604,1646,2
LucaGiordano1632,Luca,Giordano,1632,1705,11
BonaventuraLamberti1651,Bonaventura,Lamberti,1651,1721,2
BartolomeoLitterini1669,Bartolomeo,Litterini,1669,1727,5
Giovanni BattistaPaggi1554,Giovanni Battista,Paggi,1554,1627,1
Giovanni PaoloPannini1691,Giovanni Paolo,Pannini,1691,1765,4
LuigiVanvitelli1700,Luigi,Vanvitelli,1700,1773,3
Gaspar vanWittel1653,Gaspar van,Wittel,1653,1736,1
SebastianoGaleotti1676,Sebastiano,Galeotti,1676,1746,1
LorenzoPasinelli1629,Lorenzo,Pasinelli,1629,1700,3
CarloCignani1628,Carlo,Cignani,1628,1719,6
Giovanni BattistaPiazzetta1682,Giovanni Battista,Piazzetta,1682,1754,1
JacopoSansovino1486,Jacopo,Sansovino,1486,1570,1
PirroLigorio1510,Pirro,Ligorio,1510,1583,2
FrancescoSolimena1657,Francesco,Solimena,1657,1747,3
JacopoTintoretto1518,Jacopo,Tintoretto,1518,1594,18
AntonioVassilacchi1556,Antonio,Vassilacchi,1556,1629,3
PaoloVeronese1528,Paolo,Veronese,1528,1588,12
HansRottenhammer1564,Hans,Rottenhammer,1564,1626,6
FederigoZuccaro1540,Federigo,Zuccaro,1540,1609,7
Nicolò dell’Abbate1512,Nicolò dell’,Abbate,1512,1571,2
AlessandroAllori1535,Alessandro,Allori,1535,1607,3
GiovanniBalducci1560,Giovanni,Balducci,1560,1631,2
LattanzioGambara1530,Lattanzio,Gambara,1530,1574,2
VincenzoBigari1692,Vincenzo,Bigari,1692,1776,3
LorenzoBernini1598,Lorenzo,Bernini,1598,1680,3
Francesco Marco AntonioBigi1482,Francesco Marco Antonio,Bigi,1482,1525,2
GiulioCampi1500,Giulio,Campi,1500,1572,2
CarloCarlone1686,Carlo,Carlone,1686,1776,1
GiovanniBaglione1566,Giovanni,Baglione,1566,1643,2
FrancescoCurradi1570,Francesco,Curradi,1570,1661,1
Giovanni BattistaCasanova1728,Giovanni Battista,Casanova,1728,1795,2
BernardoCastello1557,Bernardo,Castello,1557,1629,1
DomenicoCampagnola1484,Domenico,Campagnola,1484,1550,2
GuillaumeCourtois1628,Guillaume,Courtois,1628,1679,2
DomenicoMondo1717,Domenico,Mondo,1717,1808,2
DomenicoCorvi1721,Domenico,Corvi,1721,1803,2
Giuseppe MariaCrespi1665,Giuseppe Maria,Crespi,1665,1747,4
CosimoDaddi1614,Cosimo,Daddi,1614,1630,1
GiuseppeDiamantini1660,Giuseppe,Diamantini,1660,1708,1
CarloDolci1616,Carlo,Dolci,1616,1686,2
JacopoChimenti1554,Jacopo,Chimenti,1554,1640,1
AmbrogioFigino1555,Ambrogio,Figino,1555,1608,2
ProsperFontana1512,Prosper,Fontana,1512,1597,1
Marc-AntonioFranceschini1648,Marc-Antonio,Franceschini,1648,1729,2
Antonio DomenicoGabbiani1652,Antonio Domenico,Gabbiani,1652,1726,2
Francesco GiovanniGessi1588,Francesco Giovanni,Gessi,1588,1625,1
BaldassareFranceschini1611,Baldassare,Franceschini,1611,1690,1
GiovanniLanfranco1582,Giovanni,Lanfranco,1582,1647,4
PietroLauri1620,Pietro,Lauri,1620,1696,1
OttavioLeoni1578,Ottavio,Leoni,1578,1626,2
Giovanni PaoloMelchiori1664,Giovanni Paolo,Melchiori,1664,1718,1
Giovanni BattistaMarcola1711,Giovanni Battista,Marcola,1711,1780,1
BartolomeoPasserotti1529,Bartolomeo,Passerotti,1529,1592,2
LelioOrsi1511,Lelio,Orsi,1511,1587,2
JacopoPalma vecchio1480,Jacopo,Palma vecchio,1480,1528,2
CherubinoAlberti1553,Cherubino,Alberti,1553,1615,1
AndreaPozzo1642,Andrea,Pozzo,1642,1709,2
Giovanni Battista di MatteoNaldini1537,Giovanni Battista di Matteo,Naldini,1537,1591,2
FrancescoSalviati1510,Francesco,Salviati,1510,1563,6
Giovanni FrancescoPenni1496,Giovanni Francesco,Penni,1496,1536,1
AntonioConsetti1686,Antonio,Consetti,1686,1766,2
Giovanni BattistaTempesti1729,Giovanni Battista,Tempesti,1729,1804,1
DonatoCreti1671,Donato,Creti,1671,1749,1
PandolfoReschi1634,Pandolfo,Reschi,1634,1699,1
AndreasAttemstett1528,Andreas,Attemstett,1528,1591,4
CristoforoRosa1517,Cristoforo,Rosa,1517,1579,1
SebastianoVini1528,Sebastiano,Vini,1528,1602,1
AndreaSacchi1599,Andrea,Sacchi,1599,1661,2
VenturaSalimbeni1568,Ventura,Salimbeni,1568,1613,6
FrancescoMorandini1544,Francesco,Morandini,1544,1597,1
FrancescoSimonini1686,Francesco,Simonini,1686,1753,1
ElisabettaSirani1638,Elisabetta,Sirani,1638,1665,7
IlarioSpolverini1657,Ilario,Spolverini,1657,1734,1
AlessandroMaganza1556,Alessandro,Maganza,1556,1630,1
MattiaPreti1613,Mattia,Preti,1613,1699,2
StefanoTorelli1712,Stefano,Torelli,1712,1784,1
FlaminioTorre1621,Flaminio,Torre,1621,1661,1
AlessandroTurchi1578,Alessandro,Turchi,1578,1649,1
AlessandroVarotari1588,Alessandro,Varotari,1588,1648,1
CesareNebbia1536,Cesare,Nebbia,1536,1614,3
TaddeoZuccaro1529,Taddeo,Zuccaro,1529,1566,4
AndreaSchiavone1500,Andrea,Schiavone,1500,1563,2
BernardinoPasseri1530,Bernardino,Passeri,1530,1590,1
JacquesBellange1575,Jacques,Bellange,1575,1616,2
AbbondioSangiorgio1798,Abbondio,Sangiorgio,1798,1879,2
GiacomoZampa1731,Giacomo,Zampa,1731,1808,1
MartinoAltomonte1657,Martino,Altomonte,1657,1745,8
Giuseppe Filippo LiberatiMarchi1755,Giuseppe Filippo Liberati,Marchi,1755,1808,1
BartolomäusAltomonte1693,Bartolomäus,Altomonte,1693,1783,3
BernardoBellotto1721,Bernardo,Bellotto,1721,1780,4
Antoine FrancoisCallet1741,Antoine Francois,Callet,1741,1823,1
CamilleCorot1796,Camille,Corot,1796,1875,5
Jean-HonoréFragonard1732,Jean-Honoré,Fragonard,1732,1806,1
MartinFréminet1567,Martin,Fréminet,1567,1619,2
