KunstnerNøkkel,Fornavn kunstner,Etternavn kunstner,FØDT,DØD,Antall verk
Georg ChristianSchule1764,Georg Christian,Schule,1764,1816,8
Johann EliasHaid1739,Johann Elias,Haid,1739,1809,5
JosephEissner1788,Joseph,Eissner,1788,1861,3
Johann EliasRidinger1695,Johann Elias,Ridinger,1695,1767,11
JohannBalzer1738,Johann,Balzer,1738,1799,8
Daniel NikolausChodowiecki1726,Daniel Nikolaus,Chodowiecki,1726,1801,121
Carl Fr.Holzmann1740,Carl Fr.,Holzmann,1740,1818,3
Johann Gotthard vonMüller1747,Johann Gotthard von,Müller,1747,1830,5
JeremiasWolff1673,Jeremias,Wolff,1673,1724,1
Karl Gustav vonAmling1651,Karl Gustav von,Amling,1651,1702,13
Johann EckhardtLöffler1630,Johann Eckhardt,Löffler,1630,1675,1
JosephSchmuzer1700,Joseph,Schmuzer,1700,1740,2
AndreasSchmuzer1699,Andreas,Schmuzer,1699,1739,2
CarlFrommel1789,Carl,Frommel,1789,1863,9
Valentin DanielPreissler1717,Valentin Daniel,Preissler,1717,1765,4
Johann JakobFrey1813,Johann Jakob,Frey,1813,1865,3
GottfriedSeuter1717,Gottfried,Seuter,1717,1800,1
Johann MartinPreissler1715,Johann Martin,Preissler,1715,1794,5
RafaelloMorghen1758,Rafaello,Morghen,1758,1833,3
HorazioFarinati1559,Horazio,Farinati,1559,1620,2
FrancescoBartolozzi1727,Francesco,Bartolozzi,1727,1815,104
VincenzoFeoli1760,Vincenzo,Feoli,1760,1827,4
AntonioRicciani1776,Antonio,Ricciani,1776,1847,6
PietroGhigi1700,Pietro,Ghigi,1700,1799,1
VincenzoSegoni1765,Vincenzo,Segoni,1765,1792,1
Pietro LeoneBombelli1737,Pietro Leone,Bombelli,1737,1809,1
NicolaAureli1805,Nicola,Aureli,1805,1836,2
FrancescoLondonio1723,Francesco,Londonio,1723,1783,7
SecondoBianchi1700,Secondo,Bianchi,1700,1799,3
Pellegrino DalColle1737,Pellegrino Dal,Colle,1737,1812,2
GirolamoCarattoni1757,Girolamo,Carattoni,1757,1809,1
Giovanni BattistaPiranesi1720,Giovanni Battista,Piranesi,1720,1778,60
RaffaelloPersichini1790,Raffaello,Persichini,1790,1820,1
Pietro SantiBartoli1635,Pietro Santi,Bartoli,1635,1700,3
CarloMogalli1667,Carlo,Mogalli,1667,1730,1
CarloFaucci1729,Carlo,Faucci,1729,1784,2
FabioBerardi1728,Fabio,Berardi,1728,1782,2
Johan JustinPreissler1698,Johan Justin,Preissler,1698,1771,5
WilhelmArndt1780,Wilhelm,Arndt,1780,1813,23
JacobFolkema1692,Jacob,Folkema,1692,1767,7
MatthäusMerian1593,Matthäus,Merian,1593,1650,18
Johann IsaiasNilson1721,Johann Isaias,Nilson,1721,1788,4
SalomonGessner1730,Salomon,Gessner,1730,1788,38
GiuseppeMochetti1814,Giuseppe,Mochetti,1814,1905,5
Johann MichaelFrey1750,Johann Michael,Frey,1750,1820,2
Adrian LudwigRichter1803,Adrian Ludwig,Richter,1803,1884,12
PhilippKilian1628,Philipp,Kilian,1628,1693,2
JanMuller1571,Jan,Muller,1571,1628,10
Jan Claesz deVisscher1550,Jan Claesz de,Visscher,1550,1612,2
Pieter ClaeszSoutman1580,Pieter Claesz,Soutman,1580,1657,4
Jan vanLonderseel1570,Jan van,Londerseel,1570,1624,2
Peeter II deJode1606,Peeter II de,Jode,1606,1674,7
Johannes deVisscher1636,Johannes de,Visscher,1636,0169,32
Lucas IIVorsterman1624,Lucas II,Vorsterman,1624,1667,3
Lucas EmilVorsterman1595,Lucas Emil,Vorsterman,1595,1675,10
AdriaenLommelin1637,Adriaen,Lommelin,1637,1673,1
Theodor vanThulden1606,Theodor van,Thulden,1606,1676,8
Pieter deBailliu1613,Pieter de,Bailliu,1613,1660,3
FerdinandBol1616,Ferdinand,Bol,1616,1689,7
IgnatiusMarinus1599,Ignatius,Marinus,1599,1639,3
Johannes Pieter deFrey1770,Johannes Pieter de,Frey,1770,1834,2
Caspar JacobszPhilips1732,Caspar Jacobsz,Philips,1732,1789,3
PieterTanjé1706,Pieter,Tanjé,1706,1761,3
PieterNolpe1613,Pieter,Nolpe,1613,1653,8
Marcus deBye1649,Marcus de,Bye,1649,1649,39
ThomasMajor1714,Thomas,Major,1714,1799,2
Jacques-FirminBeauvarlet1731,Jacques-Firmin,Beauvarlet,1731,1797,6
LaurentCars1699,Laurent,Cars,1699,1771,2
LouisCossin1627,Louis,Cossin,1627,1704,2
Nicolas deLaunay1739,Nicolas de,Launay,1739,1798,8
Jean BaptisteFosseyeux1752,Jean Baptiste,Fosseyeux,1752,1824,1
RobertDelaunay1749,Robert,Delaunay,1749,1814,2
JeanPicart1620,Jean,Picart,1620,1670,1
Jean-LouisDelignon1755,Jean-Louis,Delignon,1755,1804,11
FrançoisSpierre1639,François,Spierre,1639,1681,2
Charles MelchiorDescourtis1753,Charles Melchior,Descourtis,1753,1820,6
BernardPicart1673,Bernard,Picart,1673,1733,23
Pierre CharlesIngouf1746,Pierre Charles,Ingouf,1746,1800,2
JacquesCallot1592,Jacques,Callot,1592,1635,252
Philibert LouisDebucourt1755,Philibert Louis,Debucourt,1755,1832,6
JacquesBlondeau1655,Jacques,Blondeau,1655,1698,3
Jacques-PhilippeLe Bas1707,Jacques-Philippe,Le Bas,1707,1783,44
JeanPesne1623,Jean,Pesne,1623,1700,9
Antoine LouisRomanet1742,Antoine Louis,Romanet,1742,1810,5
Pierre AlexandreTardieu1756,Pierre Alexandre,Tardieu,1756,1844,19
Ignatz SebastianKlauber1754,Ignatz Sebastian,Klauber,1754,1820,3
JeanDambrun1741,Jean,Dambrun,1741,1814,1
N.F.Maviez1784,N.F.,Maviez,1784,1818,1
NoëlLe Mire1724,Noël,Le Mire,1724,1801,1
Antoine AlexandreMorel1765,Antoine Alexandre,Morel,1765,1829,2
Esaias van deVelde (I)1591,Esaias van de,Velde (I),1591,1630,53
François I dePoilly1622,François I de,Poilly,1622,1693,5
ClaudineStella1636,Claudine,Stella,1636,1697,3
JeanAudran1667,Jean,Audran,1667,1756,7
EtienneJeurat1699,Etienne,Jeurat,1699,1789,1
Nicolas IV deLarmessin1684,Nicolas IV de,Larmessin,1684,1753,4
JeanMoyreau1691,Jean,Moyreau,1691,1762,17
JeanDaullé1703,Jean,Daullé,1703,1763,3
FrancoisVivares1709,Francois,Vivares,1709,1780,3
PierreDrevet1663,Pierre,Drevet,1663,1738,5
PietroMenozzi1813,Pietro,Menozzi,1813,1878,1
VirgiliusSolis1514,Virgilius,Solis,1514,1562,14
LucasCranach d.e.1472,Lucas,Cranach d.e.,1472,1553,28
LudvigKrug1489,Ludvig,Krug,1489,1530,5
Hans SebaldBeham1500,Hans Sebald,Beham,1500,1550,105
AegidiusSadeler1570,Aegidius,Sadeler,1570,1629,10
NicolòCasa1543,Nicolò,Casa,1543,1547,1
Johan FrederikClemens1748,Johan Frederik,Clemens,1748,1831,61
