id,artistId,produced,acquired,kind,imageCount
MS-00297-1988,42,1982,1988,Maleri,1
MS-00298-1988,214,1984,1988,Maleri,1
MS-00299-1988,215,1982,1988,Grafikk,1
MS-00300-1988,209,1984,1988,Maleri,1
MS-00301-1988,216,1983,1988,Maleri,3
MS-00302-1988,141,1984,1988,Maleri,1
MS-00303-1988,15,1985,1988,Maleri,1
MS-00304-1988,217,1972,1988,Skulptur,1
MS-00305-1988,205,1988,1988,Skulptur,1
MS-00306-1988,218,1988,1988,Tegning,1
MS-00307-1988,54,1986,1988,Tegning,1
MS-00308-1988,219,1988,1988,Grafikk,2
MS-00309-1988,220,1985,1988,Grafikk,1
MS-00310-1988,209,1986,1988,Maleri,1
MS-00312-1988,43,1973,1988,Maleri,4
MS-00313-1988,141,1978,1988,Maleri,1
MS-00314-1988,133,1978,1988,Maleri,1
MS-00315-1988,173,1979,1988,Grafikk,1
MS-00316-1988,220,1985,1988,Grafikk,1
MS-00317-1988,221,1988,1988,Tegning,1
MS-00318-1988,222,1986,1988,Collage,1
MS-00319-1988,71,1984,1988,Maleri,1
MS-00320-1988,30,1985,1988,Maleri,1
MS-00321-1988,203,1979,1988,Tegning,1
MS-00321-1988VERSO,203,1988,1988,Tegning,0
MS-00322-1988,194,1986,1988,Tegning,1
MS-00323-1988,223,1986,1988,Maleri,1
MS-00324-1988,157,1973,1988,Grafikk,1
MS-00325-1988,224,1985,1988,Maleri,1
MS-00326-1988,225,1985,1988,Maleri,1
MS-00327-1988,73,1984,1988,Maleri,1
MS-00328-1988,226,1984,1988,Maleri,1
MS-00329-1988,227,1983,1988,Maleri,1
MS-00330-1988,228,1988,1988,Skulptur,1
MS-00331-1988,229,1968,1988,Maleri,1
MS-00332-1988,230,1977,1988,Maleri,1
MS-00333-1988,231,1969,1988,Maleri,1
MS-00334-1988,232,1977,1988,Maleri,1
MS-00335-1988,233,1971,1988,Maleri,1
MS-00336-1988,234,1971,1988,Maleri,3
MS-00337-1988,31,1961,1988,Maleri,1
MS-00338-1988,112,1969,1988,Maleri,1
